
--- Run: 2026-04-24T03:05:00.488Z ---
[2026-04-24T03:05:00.488Z] [twitter] [OK] bali-002 — Waterbom Bali (Bali, Indonesia)
[2026-04-24T03:05:03.249Z] [telegram] [OK] singapore-002 — Singapore Zoo & Night Safari (Singapore, Singapore)
[2026-04-24T03:05:03.249Z] [twitter] [OK] singapore-003 — Sentosa Island (Singapore, Singapore)
[2026-04-24T03:05:03.249Z] [telegram] [OK] singapore-003 — Sentosa Island (Singapore, Singapore)
[2026-04-24T03:05:03.249Z] [twitter] [OK] hongkong-001 — Hong Kong Disneyland (Hong Kong, Hong Kong)
[2026-04-24T03:05:03.249Z] [telegram] [OK] hongkong-001 — Hong Kong Disneyland (Hong Kong, Hong Kong)
[2026-04-24T03:05:03.249Z] [twitter] [OK] hongkong-002 — Ocean Park Hong Kong (Hong Kong, Hong Kong)
[2026-04-24T03:05:03.249Z] [telegram] [OK] hongkong-002 — Ocean Park Hong Kong (Hong Kong, Hong Kong)
[2026-04-24T03:05:03.249Z] [twitter] [OK] hongkong-003 — Ngong Ping 360 & Tian Tan Buddha (Hong Kong, Hong Kong)
[2026-04-24T03:05:03.249Z] [telegram] [OK] hongkong-003 — Ngong Ping 360 & Tian Tan Buddha (Hong Kong, Hong Kong)
[2026-04-24T03:05:03.249Z] [twitter] [OK] phuket-001 — Phuket Elephant Sanctuary (Phuket, Thailand)
[2026-04-24T03:05:03.249Z] [telegram] [OK] phuket-001 — Phuket Elephant Sanctuary (Phuket, Thailand)
[2026-04-24T03:05:03.249Z] [twitter] [OK] phuket-002 — Splash Jungle Water Park (Phuket, Thailand)
[2026-04-24T03:05:03.249Z] [telegram] [OK] phuket-002 — Splash Jungle Water Park (Phuket, Thailand)
[2026-04-24T03:05:03.249Z] [twitter] [OK] bali-001 — Bali Safari & Marine Park (Bali, Indonesia)
[2026-04-24T03:05:03.249Z] [telegram] [OK] bali-001 — Bali Safari & Marine Park (Bali, Indonesia)
[2026-04-24T03:05:03.249Z] [twitter] [OK] bali-002 — Waterbom Bali (Bali, Indonesia)
[2026-04-24T03:05:03.249Z] [telegram] [OK] bali-002 — Waterbom Bali (Bali, Indonesia)
[2026-04-24T03:05:03.249Z] [twitter] [OK] bali-003 — Bali Treetop Adventure Park (Bali, Indonesia)
[2026-04-24T03:05:03.249Z] [telegram] [OK] bali-003 — Bali Treetop Adventure Park (Bali, Indonesia)
[2026-04-24T03:05:03.249Z] [twitter] [OK] hanoi-001 — Thang Long Water Puppet Theatre (Hanoi, Vietnam)
[2026-04-24T03:05:03.249Z] [telegram] [OK] hanoi-001 — Thang Long Water Puppet Theatre (Hanoi, Vietnam)
[2026-04-24T03:05:03.250Z] [twitter] [OK] hanoi-002 — VinKE Times City (Hanoi, Vietnam)
[2026-04-24T03:05:03.250Z] [telegram] [OK] hanoi-002 — VinKE Times City (Hanoi, Vietnam)
[2026-04-24T03:05:03.250Z] [twitter] [OK] seoul-001 — Lotte World (Seoul, South Korea)
[2026-04-24T03:05:03.250Z] [telegram] [OK] seoul-001 — Lotte World (Seoul, South Korea)
[2026-04-24T03:05:03.250Z] [twitter] [OK] seoul-002 — Seoul Grand Park & Zoo (Seoul, South Korea)
[2026-04-24T03:05:03.250Z] [telegram] [OK] seoul-002 — Seoul Grand Park & Zoo (Seoul, South Korea)
[2026-04-24T03:05:03.250Z] [twitter] [OK] seoul-003 — COEX Aquarium (Seoul, South Korea)
[2026-04-24T03:05:03.250Z] [telegram] [OK] seoul-003 — COEX Aquarium (Seoul, South Korea)
[2026-04-24T03:05:03.250Z] [twitter] [OK] osaka-001 — Universal Studios Japan (Osaka, Japan)
[2026-04-24T03:05:03.250Z] [telegram] [OK] osaka-001 — Universal Studios Japan (Osaka, Japan)
[2026-04-24T03:05:03.250Z] [twitter] [OK] osaka-002 — Osaka Aquarium Kaiyukan (Osaka, Japan)
[2026-04-24T03:05:03.250Z] [telegram] [OK] osaka-002 — Osaka Aquarium Kaiyukan (Osaka, Japan)
[2026-04-24T03:05:03.250Z] [twitter] [OK] kualalumpur-001 — KidZania Kuala Lumpur (Kuala Lumpur, Malaysia)
[2026-04-24T03:05:03.250Z] [telegram] [OK] kualalumpur-001 — KidZania Kuala Lumpur (Kuala Lumpur, Malaysia)
[2026-04-24T03:05:03.250Z] [twitter] [OK] kualalumpur-002 — Aquaria KLCC (Kuala Lumpur, Malaysia)
[2026-04-24T03:05:03.250Z] [telegram] [OK] kualalumpur-002 — Aquaria KLCC (Kuala Lumpur, Malaysia)
[2026-04-24T03:05:03.250Z] [twitter] [OK] chiangmai-001 — Elephant Nature Park (Chiang Mai, Thailand)
[2026-04-24T03:05:03.250Z] [telegram] [OK] chiangmai-001 — Elephant Nature Park (Chiang Mai, Thailand)
[2026-04-24T03:05:03.250Z] [twitter] [OK] chiangmai-002 — Chiang Mai Night Safari (Chiang Mai, Thailand)
[2026-04-24T03:05:03.250Z] [telegram] [OK] chiangmai-002 — Chiang Mai Night Safari (Chiang Mai, Thailand)
