title,description,image_url,destination_url,board,hashtags,virality_score
"Jardin du Luxembourg in Paris, France — Paris's most beautiful park for families — 60 acres of manicured French gardens,...","Planning a trip to Paris, France? Jardin du Luxembourg is a top-rated family nature outdoor adventures destination perfect for ages 0-12.

Real talk from parents: Bring a picnic blanket for lawns around Grand Basin.  On-site cafe is pricey with slow queues.

Safety rating: 4.8/5 ⭐

#FamilyTravel #AsiaWithKids #TravelWithKids #Paris #FranceFamilyTravel #NatureOutdoorAdventures",https://live.staticflickr.com/65535/51182382899_7046a2c49a_b.jpg,https://www.familytravelasia.com/destination/paris-002,Family Travel Asia Destinations,#FamilyTravel #AsiaWithKids #TravelWithKids #Paris #FranceFamilyTravel #NatureOutdoorAdventures #JardinduLuxembourg #LuxembourgGardenskids,98
"Dubai Parks and Resorts in Dubai, United Arab Emirates — The Middle East's largest themed entertainment destination, combining three mass...","Planning a trip to Dubai, United Arab Emirates? Dubai Parks and Resorts is a top-rated family theme parks attractions destination perfect for ages 3-16.

Real talk from parents: Buy the 'Multi-Park' ticket online 2 weeks in advance for up to 40% off gate prices.

Safety rating: 4.8/5 ⭐

#FamilyTravel #AsiaWithKids #TravelWithKids #Dubai #UnitedArabEmiratesFamilyTravel #ThemeParksAttractions",https://live.staticflickr.com/65535/53157807637_9e58d92c92_b.jpg,https://www.familytravelasia.com/destination/dubai-002,Family Travel Asia Destinations,#FamilyTravel #AsiaWithKids #TravelWithKids #Dubai #UnitedArabEmiratesFamilyTravel #ThemeParksAttractions #DubaiParksandResorts #LegolandDubai,98
"teamLab Planets in Tokyo, Japan — A fully immersive digital art museum where visitors walk barefoot through knee-d...","Planning a trip to Tokyo, Japan? teamLab Planets is a top-rated family cultural historical sites destination perfect for ages 3-99.

Real talk from parents: Children under 3 enter free.  The experience is gentle enough for all ages but the dark rooms can spook very sensitive kids.

Safety rating: 4.8/5 ⭐

#FamilyTravel #AsiaWithKids #TravelWithKids #Tokyo #JapanFamilyTravel #CulturalHistoricalSites",https://live.staticflickr.com/65535/55002813468_3e69bbc85a_b.jpg,https://www.familytravelasia.com/destination/tokyo-016,Family Travel Asia Destinations,#FamilyTravel #AsiaWithKids #TravelWithKids #Tokyo #JapanFamilyTravel #CulturalHistoricalSites #teamLabPlanetsTokyo #Tokyodigitalartmuseum,98
"Lotte World Full Family Day in Seoul, South Korea — A two-part mega theme park combining the world's largest indoor theme park with...","Planning a trip to Seoul, South Korea? Lotte World Full Family Day is a top-rated family theme parks attractions destination perfect for ages 3-16.

Real talk from parents: Download the Lotte World app for real-time wait times.  The Waiting Advantage pass is worth it on weekends for the 4 most popular rides.

Safety rating: 4.8/5 ⭐

#FamilyTravel #AsiaWithKids #TravelWithKids #Seoul #SouthKoreaFamilyTravel #ThemeParksAttractions",https://live.staticflickr.com/65535/55228806531_1c17cbe9c7_b.jpg,https://www.familytravelasia.com/destination/seoul-011,Family Travel Asia Destinations,#FamilyTravel #AsiaWithKids #TravelWithKids #Seoul #SouthKoreaFamilyTravel #ThemeParksAttractions #LotteWorldSeoul #Seoulthemeparkkids,98
"Ueno Zoo & Museums in Tokyo, Japan — Japan's oldest zoo in beautiful Ueno Park. Perfect for younger children with pan...","Planning a trip to Tokyo, Japan? Ueno Zoo & Museums is a top-rated family nature outdoor adventures destination perfect for ages 0-12.

Real talk from parents: Combine with the National Museum next door — it's free for kids under 18 and has interactive exhibits.

Safety rating: 4.7/5 ⭐

#FamilyTravel #AsiaWithKids #TravelWithKids #Tokyo #JapanFamilyTravel #NatureOutdoorAdventures",https://live.staticflickr.com/65535/55218525477_b196959560_b.jpg,https://www.familytravelasia.com/destination/tokyo-002,Family Travel Asia Destinations,#FamilyTravel #AsiaWithKids #TravelWithKids #Tokyo #JapanFamilyTravel #NatureOutdoorAdventures #UenoZooTokyo #familyzooJapan,97
"teamLab Borderless in Tokyo, Japan — An immersive digital art museum where art flows out of rooms and interacts with...","Planning a trip to Tokyo, Japan? teamLab Borderless is a top-rated family cultural historical sites destination perfect for ages 4-99.

Real talk from parents: Go early (10 AM opening).  By noon it's packed and the magic dims with crowds.

Safety rating: 4.6/5 ⭐

#FamilyTravel #AsiaWithKids #TravelWithKids #Tokyo #JapanFamilyTravel #CulturalHistoricalSites",https://live.staticflickr.com/65535/54288473826_a4e1280da0_b.jpg,https://www.familytravelasia.com/destination/tokyo-004,Family Travel Asia Destinations,#FamilyTravel #AsiaWithKids #TravelWithKids #Tokyo #JapanFamilyTravel #CulturalHistoricalSites #teamLabTokyo #digitalartmuseumkids,97
"Singapore Zoo & Night Safari in Singapore, Singapore — World-famous open-concept zoo where animals roam in naturalistic habitats withou...","Planning a trip to Singapore, Singapore? Singapore Zoo & Night Safari is a top-rated family nature outdoor adventures destination perfect for ages 1-12.

Real talk from parents: The zoo opens at 8:30 AM.  Arrive then — by 10 AM the animals are sleepy and the crowds arrive.

Safety rating: 4.6/5 ⭐

#FamilyTravel #AsiaWithKids #TravelWithKids #Singapore #SingaporeFamilyTravel #NatureOutdoorAdventures",https://live.staticflickr.com/8826/18185765560_4c8e9a6bb3_b.jpg,https://www.familytravelasia.com/destination/singapore-002,Family Travel Asia Destinations,#FamilyTravel #AsiaWithKids #TravelWithKids #Singapore #SingaporeFamilyTravel #NatureOutdoorAdventures #SingaporeZoo #NightSafari,97
"Lotte World in Seoul, South Korea — A massive indoor-outdoor theme park in the heart of Seoul. The indoor Adventure...","Planning a trip to Seoul, South Korea? Lotte World is a top-rated family theme parks attractions destination perfect for ages 3-14.

Real talk from parents: Buy the 'Magic Pass' online — it's a fast-pass system that saves 30-60 minutes per ride on busy days.

Safety rating: 4.7/5 ⭐

#FamilyTravel #AsiaWithKids #TravelWithKids #Seoul #SouthKoreaFamilyTravel #ThemeParksAttractions",https://live.staticflickr.com/5576/14670975386_86c3014832_b.jpg,https://www.familytravelasia.com/destination/seoul-001,Family Travel Asia Destinations,#FamilyTravel #AsiaWithKids #TravelWithKids #Seoul #SouthKoreaFamilyTravel #ThemeParksAttractions #LotteWorldSeoul #indoorthemeparkSeoul,97
"COEX Aquarium in Seoul, South Korea — One of Korea's largest aquariums with over 40,000 marine creatures across 17 the...","Planning a trip to Seoul, South Korea? COEX Aquarium is a top-rated family nature outdoor adventures destination perfect for ages 2-12.

Real talk from parents: The touch pool is the highlight for younger kids.  Arrive early before the crowd forms around it.

Safety rating: 4.7/5 ⭐

#FamilyTravel #AsiaWithKids #TravelWithKids #Seoul #SouthKoreaFamilyTravel #NatureOutdoorAdventures",https://live.staticflickr.com/65535/49555078807_32f3cf243f_b.jpg,https://www.familytravelasia.com/destination/seoul-003,Family Travel Asia Destinations,#FamilyTravel #AsiaWithKids #TravelWithKids #Seoul #SouthKoreaFamilyTravel #NatureOutdoorAdventures #COEXAquariumSeoul #Seoulaquariumfamily,97
"Odaiba & TeamLab Planets in Tokyo, Japan — A tech wonderland on a man-made island. TeamLab's digital art exhibits let kids...","Planning a trip to Tokyo, Japan? Odaiba & TeamLab Planets is a top-rated family theme parks attractions destination perfect for ages 3-14.

Real talk from parents: Book tickets online 2 weeks ahead — they sell out and walk-up queues can hit 2 hours.

Safety rating: 4.7/5 ⭐

#FamilyTravel #AsiaWithKids #TravelWithKids #Tokyo #JapanFamilyTravel #ThemeParksAttractions",https://live.staticflickr.com/65535/55218525477_b196959560_b.jpg,https://www.familytravelasia.com/destination/tokyo-005,Family Travel Asia Destinations,#FamilyTravel #AsiaWithKids #TravelWithKids #Tokyo #JapanFamilyTravel #ThemeParksAttractions #Odaibawithkids #TeamLabPlanetsTokyo,97
"Dubai Miracle Garden in Dubai, UAE — The world's largest flower garden with 150 million blooms in incredible sculptur...","Planning a trip to Dubai, UAE? Dubai Miracle Garden is a top-rated family nature outdoor adventures destination perfect for ages 2-14.

Real talk from parents: Arrive early for crowd-free photos at the sunflower field and A380.

Safety rating: 4.7/5 ⭐

#FamilyTravel #AsiaWithKids #TravelWithKids #Dubai #UAEFamilyTravel #NatureOutdoorAdventures",https://live.staticflickr.com/65535/55185526756_a576e6bd99_b.jpg,https://www.familytravelasia.com/destination/dubai-007,Family Travel Asia Destinations,#FamilyTravel #AsiaWithKids #TravelWithKids #Dubai #UAEFamilyTravel #NatureOutdoorAdventures #DubaiMiracleGarden #flowergardenDubai,97
"KidZania Dubai in Dubai, UAE — A child-sized metropolis spread over 80,000 square feet where kids can try 80+ r...","Planning a trip to Dubai, UAE? KidZania Dubai is a top-rated family theme parks attractions destination perfect for ages 4-14.

Real talk from parents: The airline pilot and firefighter stations are most popular.  Go there first or prepare for 30-minute waits.

Safety rating: 4.8/5 ⭐

#FamilyTravel #AsiaWithKids #TravelWithKids #Dubai #UAEFamilyTravel #ThemeParksAttractions",https://live.staticflickr.com/8371/28429402911_2b4e8daa6b_b.jpg,https://www.familytravelasia.com/destination/dubai-008,Family Travel Asia Destinations,#FamilyTravel #AsiaWithKids #TravelWithKids #Dubai #UAEFamilyTravel #ThemeParksAttractions #KidZaniaDubai #kidseducationalactivitiesDubai,97
"ZSL London Zoo in London, United Kingdom — The world's oldest scientific zoo, home to over 20,000 animals across stunning h...","Planning a trip to London, United Kingdom? ZSL London Zoo is a top-rated family nature outdoor adventures destination perfect for ages 0-12.

Real talk from parents: Book tickets online at least 48 hours ahead — you save 10% and skip the queue which can take 30+ minutes at peak season.

Safety rating: 4.6/5 ⭐

#FamilyTravel #AsiaWithKids #TravelWithKids #London #UnitedKingdomFamilyTravel #NatureOutdoorAdventures",https://live.staticflickr.com/65535/55097527229_d5bc3767b4_b.jpg,https://www.familytravelasia.com/destination/london-001,Family Travel Asia Destinations,#FamilyTravel #AsiaWithKids #TravelWithKids #London #UnitedKingdomFamilyTravel #NatureOutdoorAdventures #LondonZoo #familythingstodoLondon,97
"Cite des Sciences et de l'Industrie in Paris, France — Europe's largest science museum with the dedicated Cite des Enfants — a massive...","Planning a trip to Paris, France? Cite des Sciences et de l'Industrie is a top-rated family cultural historical sites destination perfect for ages 2-14.

Real talk from parents: Book Cite des Enfants in advance — timed entry sells out weekends.  Ages 2-7 has water play and sensory maze.

Safety rating: 4.7/5 ⭐

#FamilyTravel #AsiaWithKids #TravelWithKids #Paris #FranceFamilyTravel #CulturalHistoricalSites",https://live.staticflickr.com/65535/52932719816_a803c22efd_b.jpg,https://www.familytravelasia.com/destination/paris-003,Family Travel Asia Destinations,#FamilyTravel #AsiaWithKids #TravelWithKids #Paris #FranceFamilyTravel #CulturalHistoricalSites #CitedesSciencesParis #sciencemuseumPariskids,97
"Lotte World Adventure in Seoul, South Korea — Korea's largest indoor adventure theme park coupled with an outdoor 'Magic Islan...","Planning a trip to Seoul, South Korea? Lotte World Adventure is a top-rated family theme parks attractions destination perfect for ages 3-14.

Real talk from parents: Buy the 'Magic Pass' QR tickets via the app at 10:30 AM sharp — they're free but limited and save you from 60+ minute queues on popular rides.

Safety rating: 4.7/5 ⭐

#FamilyTravel #AsiaWithKids #TravelWithKids #Seoul #SouthKoreaFamilyTravel #ThemeParksAttractions",https://live.staticflickr.com/687/23209166532_84b5438894_b.jpg,https://www.familytravelasia.com/destination/seoul-010,Family Travel Asia Destinations,#FamilyTravel #AsiaWithKids #TravelWithKids #Seoul #SouthKoreaFamilyTravel #ThemeParksAttractions #LotteWorldSeoul #indoorthemeparkSeoul,97
"Siam Ocean World in Bangkok, Thailand — One of Southeast Asia's largest aquariums, located in the basement of Siam Parag...","Planning a trip to Bangkok, Thailand? Siam Ocean World is a top-rated family nature outdoor adventures destination perfect for ages 2-12.

Real talk from parents: The glass-bottom boat ride is worth the extra 200 baht.  Kids love seeing sharks swim beneath their feet.

Safety rating: 4.7/5 ⭐

#FamilyTravel #AsiaWithKids #TravelWithKids #Bangkok #ThailandFamilyTravel #NatureOutdoorAdventures",https://live.staticflickr.com/7317/16524972892_b54b661524_b.jpg,https://www.familytravelasia.com/destination/bangkok-003,Family Travel Asia Destinations,#FamilyTravel #AsiaWithKids #TravelWithKids #Bangkok #ThailandFamilyTravel #NatureOutdoorAdventures #SiamOceanWorld #Bangkokaquarium,96
"Sentosa Island in Singapore, Singapore — Singapore's island resort with Universal Studios, SEA Aquarium, Adventure Cove W...","Planning a trip to Singapore, Singapore? Sentosa Island is a top-rated family theme parks attractions destination perfect for ages 2-17.

Real talk from parents: Buy the Sentosa Fun Pass online — it bundles attractions and saves 20-30%.

Safety rating: 4.5/5 ⭐

#FamilyTravel #AsiaWithKids #TravelWithKids #Singapore #SingaporeFamilyTravel #ThemeParksAttractions",https://live.staticflickr.com/65535/48851020827_877f1bf434_b.jpg,https://www.familytravelasia.com/destination/singapore-003,Family Travel Asia Destinations,#FamilyTravel #AsiaWithKids #TravelWithKids #Singapore #SingaporeFamilyTravel #ThemeParksAttractions #SentosaIsland #UniversalStudiosSingapore,96
"Bali Safari & Marine Park in Bali, Indonesia — A 40-hectare wildlife park with over 100 species in natural habitats. Take a saf...","Planning a trip to Bali, Indonesia? Bali Safari & Marine Park is a top-rated family nature outdoor adventures destination perfect for ages 2-12.

Real talk from parents: Book the Safari Journey (tram) first thing — the animals are most active and the lines shortest before 11 AM.

Safety rating: 4.6/5 ⭐

#FamilyTravel #AsiaWithKids #TravelWithKids #Bali #IndonesiaFamilyTravel #NatureOutdoorAdventures",https://live.staticflickr.com/65535/48930891872_162f52d58d_b.jpg,https://www.familytravelasia.com/destination/bali-001,Family Travel Asia Destinations,#FamilyTravel #AsiaWithKids #TravelWithKids #Bali #IndonesiaFamilyTravel #NatureOutdoorAdventures #BaliSafari #Balifamily,96
"Bali Treetop Adventure Park in Bali, Indonesia — An aerial adventure park set in the botanical gardens of Bedugul. Seven courses...","Planning a trip to Bali, Indonesia? Bali Treetop Adventure Park is a top-rated family nature outdoor adventures destination perfect for ages 4-17.

Real talk from parents: The drive from Kuta/Seminyak takes 1. 5-2 hours.

Safety rating: 4.7/5 ⭐

#FamilyTravel #AsiaWithKids #TravelWithKids #Bali #IndonesiaFamilyTravel #NatureOutdoorAdventures",https://live.staticflickr.com/1596/24774648406_3b7cf41849_b.jpg,https://www.familytravelasia.com/destination/bali-003,Family Travel Asia Destinations,#FamilyTravel #AsiaWithKids #TravelWithKids #Bali #IndonesiaFamilyTravel #NatureOutdoorAdventures #BaliTreetopAdventure #Baliadventurepark,96
"Seoul Grand Park & Zoo in Seoul, South Korea — Korea's largest zoo set inside a sprawling 9-million-pyeong park. Home to over 3...","Planning a trip to Seoul, South Korea? Seoul Grand Park & Zoo is a top-rated family nature outdoor adventures destination perfect for ages 0-12.

Real talk from parents: The sky-rail (cable car) is worth the extra $3.  Kids love the view and it saves 20 minutes of walking.

Safety rating: 4.6/5 ⭐

#FamilyTravel #AsiaWithKids #TravelWithKids #Seoul #SouthKoreaFamilyTravel #NatureOutdoorAdventures",https://live.staticflickr.com/944/41739552681_dc1fe7368d_b.jpg,https://www.familytravelasia.com/destination/seoul-002,Family Travel Asia Destinations,#FamilyTravel #AsiaWithKids #TravelWithKids #Seoul #SouthKoreaFamilyTravel #NatureOutdoorAdventures #SeoulGrandPark #SeoulZoo,96
